[2026-08-23 02:41:10.851544] ====================================================================================================
[2026-08-23 02:41:10.851644] Config: TrainConfig(data_source='data/fineweb10B_v500', train_steps=16000, report_steps=200, seq_len=1024, val_size=2097152, batch_size=32768, mbs=32, vocab_size=500, num_layers=1, model_dim=192, train_data_pattern='fineweb_train_*.bin', val_data_pattern='fineweb_val_*.bin', seed=1337, model_type='gpt', expansion_ratio=4.0, head_dim=64, num_heads=3, embed_dim=None, num_tokens=None, zero_proj_init=False, lr_cooldown_frac=0.7, geon_eps=1e-10, geon_s_min=1e-05, geon_s_max=100000.0, checkpoint_steps=None)
[2026-08-23 02:41:10.851708] Rules: [Rule(name='embed', patterns=['embed.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.3, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='proj', patterns=['proj.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.003125, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='one_d', patterns=['*.bias', '*.gains'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.01, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='two_d', patterns=['blocks.*.attn.*.weight', 'blocks.*.mlp.*.weight'], start=0, end=None, update='muon', sizing='learning_rate', lr=0.02, betas=(0.9, 0.95), nesterov=False, wd_raw=0.0002, coeff=1.0, warmup_steps=0)]
[2026-08-23 02:41:10.851740] ====================================================================================================
[2026-08-23 02:41:10.851774] Running PyTorch 2.13.0+cu130 compiled for CUDA 13.0
[2026-08-23 02:41:10.851800] ====================================================================================================
[2026-08-23 02:41:10.956336] rules OK: 4 rules uniquely cover 19 params x [0, 16000) steps
[2026-08-23 02:44:49.940054] step:12200/16000 rolling_loss:2.71439 val_loss:2.71497 train_time:202.430s step_avg:16.59ms
[2026-08-23 02:44:53.605180] step:12400/16000 rolling_loss:2.69558 val_loss:2.70939 train_time:205.826s step_avg:16.60ms
[2026-08-23 02:44:57.214653] step:12600/16000 rolling_loss:2.67166 val_loss:2.71039 train_time:209.166s step_avg:16.60ms
[2026-08-23 02:45:00.824355] step:12800/16000 rolling_loss:2.69448 val_loss:2.70536 train_time:212.506s step_avg:16.60ms
[2026-08-23 02:45:04.425695] step:13000/16000 rolling_loss:2.71302 val_loss:2.70775 train_time:215.838s step_avg:16.60ms
[2026-08-23 02:45:08.024497] step:13200/16000 rolling_loss:2.67761 val_loss:2.70086 train_time:219.168s step_avg:16.60ms
[2026-08-23 02:45:11.635049] step:13400/16000 rolling_loss:2.68136 val_loss:2.69911 train_time:222.508s step_avg:16.61ms
[2026-08-23 02:45:15.243867] step:13600/16000 rolling_loss:2.69227 val_loss:2.69934 train_time:225.847s step_avg:16.61ms
[2026-08-23 02:45:18.849183] step:13800/16000 rolling_loss:2.69003 val_loss:2.69499 train_time:229.182s step_avg:16.61ms
[2026-08-23 02:45:22.461913] step:14000/16000 rolling_loss:2.68801 val_loss:2.69155 train_time:232.526s step_avg:16.61ms
[2026-08-23 02:45:26.074293] step:14200/16000 rolling_loss:2.69632 val_loss:2.68784 train_time:235.869s step_avg:16.61ms
[2026-08-23 02:45:29.677380] step:14400/16000 rolling_loss:2.67434 val_loss:2.68682 train_time:239.204s step_avg:16.61ms
[2026-08-23 02:45:33.282675] step:14600/16000 rolling_loss:2.66346 val_loss:2.68593 train_time:242.540s step_avg:16.61ms
[2026-08-23 02:45:36.890722] step:14800/16000 rolling_loss:2.66928 val_loss:2.68162 train_time:245.879s step_avg:16.61ms
[2026-08-23 02:45:40.496766] step:15000/16000 rolling_loss:2.67054 val_loss:2.68081 train_time:249.216s step_avg:16.61ms
[2026-08-23 02:45:44.111229] step:15200/16000 rolling_loss:2.65841 val_loss:2.67775 train_time:252.561s step_avg:16.62ms
[2026-08-23 02:45:47.773032] step:15400/16000 rolling_loss:2.65747 val_loss:2.67634 train_time:255.956s step_avg:16.62ms
[2026-08-23 02:45:51.383690] step:15600/16000 rolling_loss:2.67678 val_loss:2.67436 train_time:259.297s step_avg:16.62ms
[2026-08-23 02:45:54.988267] step:15800/16000 rolling_loss:2.66439 val_loss:2.67258 train_time:262.631s step_avg:16.62ms
[2026-08-23 02:45:58.599094] step:16000/16000 rolling_loss:2.65149 val_loss:2.67186 train_time:265.971s step_avg:16.62ms
